TSE COD,TSE MUNICIPIO,IBGE COD,IBGE MUNICIPIO
63673,CRUZÁLIA,3513306,Cruzália
63690,CRUZEIRO,3513405,Cruzeiro
63711,CUBATÃO,3513504,Cubatão
63738,CUNHA,3513603,Cunha
63754,DESCALVADO,3513702,Descalvado
63770,DIADEMA,3513801,Diadema
63797,DIVINOLÂNDIA,3513900,Divinolândia
63819,DOBRADA,3514007,Dobrada
63835,DOIS CÓRREGOS,3514106,Dois Córregos
63851,DOLCINÓPOLIS,3514205,Dolcinópolis
63878,DOURADO,3514304,Dourado
63894,DRACENA,3514403,Dracena
63916,DUARTINA,3514502,Duartina
63932,DUMONT,3514601,Dumont
63959,ECHAPORÃ,3514700,Echaporã
63975,ELDORADO,3514809,Eldorado
63991,ELIAS FAUSTO,3514908,Elias Fausto
64017,EMBU DAS ARTES,3515004,Embu das Artes
64033,EMBU-GUAÇU,3515103,Embu-Guaçu
64050,ESTRELA D'OESTE,3515202,Estrela dOeste
64076,ESTRELA DO NORTE,3515301,Estrela do Norte
64092,FARTURA,3515400,Fartura
64114,FERNANDÓPOLIS,3515509,Fernandópolis
64130,FERNANDO PRESTES,3515608,Fernando Prestes
64157,FERRAZ DE VASCONCELOS,3515707,Ferraz de Vasconcelos
64173,FLORA RICA,3515806,Flora Rica
64190,FLOREAL,3515905,Floreal
64211,FLÓRIDA PAULISTA,3516002,Flórida Paulista
64238,FLORÍNEA,3516101,Florínea
64254,FRANCA,3516200,Franca
64270,FRANCISCO MORATO,3516309,Francisco Morato
64297,FRANCO DA ROCHA,3516408,Franco da Rocha
64319,GABRIEL MONTEIRO,3516507,Gabriel Monteiro
64335,GÁLIA,3516606,Gália
64351,GARÇA,3516705,Garça
64378,GASTÃO VIDIGAL,3516804,Gastão Vidigal
64394,GENERAL SALGADO,3516903,General Salgado
64416,GETULINA,3517000,Getulina
64432,GLICÉRIO,3517109,Glicério
64459,GUAIÇARA,3517208,Guaiçara
64475,GUAIMBÊ,3517307,Guaimbê
64491,GUAÍRA,3517406,Guaíra
64513,GUAPIAÇU,3517505,Guapiaçu
64530,GUAPIARA,3517604,Guapiara
64556,GUARÁ,3517703,Guará
64572,GUARAÇAÍ,3517802,Guaraçaí
64599,GUARACI,3517901,Guaraci
64610,GUARANI D'OESTE,3518008,Guarani dOeste
64637,GUARANTÃ,3518107,Guarantã
64653,GUARARAPES,3518206,Guararapes
64670,GUARAREMA,3518305,Guararema
64696,GUARATINGUETÁ,3518404,Guaratinguetá
64718,GUAREÍ,3518503,Guareí
64734,GUARIBA,3518602,Guariba
64750,GUARUJÁ,3518701,Guarujá
64777,GUARULHOS,3518800,Guarulhos
64793,GUZOLÂNDIA,3518909,Guzolândia
64815,HERCULÂNDIA,3519006,Herculândia
64831,IACANGA,3519105,Iacanga
64858,IACRI,3519204,Iacri
64874,IBATÉ,3519303,Ibaté
64890,IBIRÁ,3519402,Ibirá
64912,IBIRAREMA,3519501,Ibirarema
64939,IBITINGA,3519600,Ibitinga
64955,IBIÚNA,3519709,Ibiúna
64971,ICÉM,3519808,Icém
64998,IEPÊ,3519907,Iepê
65013,IGARAÇU DO TIETÊ,3520004,Igaraçu do Tietê
65030,IGARAPAVA,3520103,Igarapava
65056,IGARATÁ,3520202,Igaratá
65072,IGUAPE,3520301,Iguape
65099,ILHABELA,3520400,Ilhabela
65110,INDAIATUBA,3520509,Indaiatuba
65137,INDIANA,3520608,Indiana
65153,INDIAPORÃ,3520707,Indiaporã
65170,INÚBIA PAULISTA,3520806,Inúbia Paulista
65196,IPAUSSU,3520905,Ipaussu
65218,IPERÓ,3521002,Iperó
65234,IPEÚNA,3521101,Ipeúna
65250,IPORANGA,3521200,Iporanga
65277,IPUÃ,3521309,Ipuã
65293,IRACEMÁPOLIS,3521408,Iracemápolis
65315,IRAPUÃ,3521507,Irapuã
65331,IRAPURU,3521606,Irapuru
65358,ITABERÁ,3521705,Itaberá
65374,ITAÍ,3521804,Itaí
65390,ITAJOBI,3521903,Itajobi
65412,ITAJU,3522000,Itaju
65439,ITANHAÉM,3522109,Itanhaém
65455,ITAPECERICA DA SERRA,3522208,Itapecerica da Serra
65471,ITAPETININGA,3522307,Itapetininga
65498,ITAPEVA,3522406,Itapeva
65510,ITAPEVI,3522505,Itapevi
65536,ITAPIRA,3522604,Itapira
65552,ITÁPOLIS,3522703,Itápolis
65579,ITAPORANGA,3522802,Itaporanga
65595,ITAPUÍ,3522901,Itapuí
65617,ITAPURA,3523008,Itapura
65633,ITAQUAQUECETUBA,3523107,Itaquaquecetuba
65650,ITARARÉ,3523206,Itararé
65676,ITARIRI,3523305,Itariri
65692,ITATIBA,3523404,Itatiba
65714,ITATINGA,3523503,Itatinga
65730,ITIRAPINA,3523602,Itirapina
65757,ITIRAPUÃ,3523701,Itirapuã
65773,ITOBI,3523800,Itobi
65790,ITU,3523909,Itu
65811,ITUPEVA,3524006,Itupeva
65838,ITUVERAVA,3524105,Ituverava
65854,JABORANDI,3524204,Jaborandi
65870,JABOTICABAL,3524303,Jaboticabal
65897,JACAREÍ,3524402,Jacareí
65919,JACI,3524501,Jaci
65935,JACUPIRANGA,3524600,Jacupiranga
65951,JAGUARIÚNA,3524709,Jaguariúna
65978,JALES,3524808,Jales
65994,JAMBEIRO,3524907,Jambeiro
66010,JANDIRA,3525003,Jandira
66036,JARDINÓPOLIS,3525102,Jardinópolis
66052,JARINU,3525201,Jarinu
66079,JAÚ,3525300,Jaú
66095,JERIQUARA,3525409,Jeriquara
66117,JOANÓPOLIS,3525508,Joanópolis
66133,JOÃO RAMALHO,3525607,João Ramalho
66150,JOSÉ BONIFÁCIO,3525706,José Bonifácio
66176,JÚLIO MESQUITA,3525805,Júlio Mesquita
66192,JUNDIAÍ,3525904,Jundiaí
66214,JUNQUEIRÓPOLIS,3526001,Junqueirópolis
66230,JUQUIÁ,3526100,Juquiá
66257,JUQUITIBA,3526209,Juquitiba
66273,LAGOINHA,3526308,Lagoinha
66290,LARANJAL PAULISTA,3526407,Laranjal Paulista
66311,LAVÍNIA,3526506,Lavínia
66338,LAVRINHAS,3526605,Lavrinhas
66354,LEME,3526704,Leme
66370,LENÇÓIS PAULISTA,3526803,Lençóis Paulista
66397,LIMEIRA,3526902,Limeira
66419,LINDÓIA,3527009,Lindóia
66435,LINS,3527108,Lins
66451,LORENA,3527207,Lorena
66478,LOUVEIRA,3527306,Louveira
66494,LUCÉLIA,3527405,Lucélia
66516,LUCIANÓPOLIS,3527504,Lucianópolis
66532,LUÍS ANTÔNIO,3527603,Luís Antônio
66559,LUIZIÂNIA,3527702,Luiziânia
66575,LUPÉRCIO,3527801,Lupércio
66591,LUTÉCIA,3527900,Lutécia
66613,MACATUBA,3528007,Macatuba
66630,MACAUBAL,3528106,Macaubal
66656,MACEDÔNIA,3528205,Macedônia
66672,MAGDA,3528304,Magda
66699,MAIRINQUE,3528403,Mairinque
66710,MAIRIPORÃ,3528502,Mairiporã
66737,MANDURI,3528601,Manduri
66753,MARABÁ PAULISTA,3528700,Marabá Paulista
66770,MARACAÍ,3528809,Maracaí
66796,MARIÁPOLIS,3528908,Mariápolis
66818,MARÍLIA,3529005,Marília
66834,MARINÓPOLIS,3529104,Marinópolis
66850,MARTINÓPOLIS,3529203,Martinópolis
66877,MATÃO,3529302,Matão
66893,MAUÁ,3529401,Mauá
66915,MENDONÇA,3529500,Mendonça
66931,MERIDIANO,3529609,Meridiano
66958,MIGUELÓPOLIS,3529708,Miguelópolis
66974,MINEIROS DO TIETÊ,3529807,Mineiros do Tietê
66990,MIRACATU,3529906,Miracatu
67016,MIRA ESTRELA,3530003,Mira Estrela
67032,MIRANDÓPOLIS,3530102,Mirandópolis
67059,MIRANTE DO PARANAPANEMA,3530201,Mirante do Paranapanema
67075,MIRASSOL,3530300,Mirassol
67091,MIRASSOLÂNDIA,3530409,Mirassolândia
67113,MOCOCA,3530508,Mococa
67130,MOGI DAS CRUZES,3530607,Mogi das Cruzes
67156,MOGI GUAÇU,3530706,Mogi Guaçu
67172,MOGI MIRIM,3530805,Mogi Mirim
67199,MOMBUCA,3530904,Mombuca
67210,MONÇÕES,3531001,Monções
67237,MONGAGUÁ,3531100,Mongaguá
67253,MONTE ALEGRE DO SUL,3531209,Monte Alegre do Sul
67270,MONTE ALTO,3531308,Monte Alto
67296,MONTE APRAZÍVEL,3531407,Monte Aprazível
67318,MONTE AZUL PAULISTA,3531506,Monte Azul Paulista
67334,MONTE CASTELO,3531605,Monte Castelo
67350,MONTEIRO LOBATO,3531704,Monteiro Lobato
67377,MONTE MOR,3531803,Monte Mor
67393,MORRO AGUDO,3531902,Morro Agudo
67415,MORUNGABA,3532009,Morungaba
67431,MURUTINGA DO SUL,3532108,Murutinga do Sul
67458,NARANDIBA,3532207,Narandiba
67474,NATIVIDADE DA SERRA,3532306,Natividade da Serra
67490,NAZARÉ PAULISTA,3532405,Nazaré Paulista
67512,NEVES PAULISTA,3532504,Neves Paulista
67539,NHANDEARA,3532603,Nhandeara
67555,NIPOÃ,3532702,Nipoã
67571,NOVA ALIANÇA,3532801,Nova Aliança
67598,NOVA EUROPA,3532900,Nova Europa
67610,NOVA GRANADA,3533007,Nova Granada
67636,NOVA GUATAPORANGA,3533106,Nova Guataporanga
67652,NOVA INDEPENDÊNCIA,3533205,Nova Independência
67679,NOVA LUZITÂNIA,3533304,Nova Luzitânia
